year,acquisition_source,leads,won,conversion_rate
2023,Email,716,29,4.05
2023,Google,163,3,1.84
2023,Direct,2301,24,1.04
2023,Facebook,563,3,0.53
2023,LinkedIn,6598,21,0.32
2023,Webinar,3341,10,0.3
2023,Zapier,1163,1,0.09
2023,Referral,310,0,0.0
2023,Survey,111,0,0.0
2023,Unknown,36027,0,0.0
2024,Direct,1160,26,2.24
2024,Email,1011,21,2.08
2024,Referral,174,2,1.15
2024,Google,196,1,0.51
2024,Webinar,881,4,0.45
2024,LinkedIn,3877,10,0.26
2024,Facebook,191,0,0.0
2024,Instagram,14,0,0.0
2024,Survey,67,0,0.0
2024,Unknown,29072,0,0.0
2024,Zapier,34,0,0.0
2025,Google,34,2,5.88
2025,Referral,62,1,1.61
2025,Direct,228,3,1.32
2025,LinkedIn,90,1,1.11
2025,Webinar,316,2,0.63
2025,Email,99,0,0.0
2025,Facebook,27,0,0.0
2025,Instagram,44,0,0.0
2025,Survey,8,0,0.0
2025,Unknown,11786,0,0.0
2025,Zapier,13,0,0.0
2026,Direct,27,3,11.11
2026,LinkedIn,10,1,10.0
2026,Email,31,0,0.0
2026,Google,10,0,0.0
2026,Instagram,16,0,0.0
2026,Referral,9,0,0.0
2026,Unknown,64,0,0.0
2026,Webinar,11,0,0.0
2026,Zapier,10,0,0.0
